# Simulation 8 (Up to date)
# 618 data points written for 4 variables.
#
# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
71.6765,165.636,6.0182,0.1152
71.9324,164.355,6.0043,0.5331
72.1881,163.0749,6.0774,0.8718
72.444,161.7954,6.2015,1.2872
72.7002,160.5167,6.393,0.3394
72.9569,159.2341,6.4616,0.2009
73.2126,157.9541,6.4297,1.5955
73.4683,156.6784,6.1569,0.4822
73.7255,155.3951,6.1102,1.0465
73.9812,154.1172,5.951,0.479
74.2375,152.8365,6.0274,0.2118
74.4932,151.5571,6.0595,1.565
74.7488,150.2821,6.2688,0.567
75.0059,148.9998,6.3778,0.7759
75.2616,147.7217,6.4996,0.9702
75.5175,146.4438,6.34,0.6125
75.7736,145.1646,6.2502,1.1149
76.0294,143.8878,6.0741,0.5811
76.2856,142.6084,6.1692,0.6587
76.5413,141.3307,6.2682,0.6604
76.797,140.053,6.3713,0.1032
77.0527,138.7748,6.3594,0.7242
77.3081,137.4983,6.2414,0.5183
77.5638,136.2206,6.1652,1.3044
77.8193,134.9459,5.961,0.6223
78.0758,133.6668,5.8891,0.4122
78.3314,132.3897,5.8361,0.463
78.5868,131.1132,5.7752,0.1461
78.8422,129.8364,5.7959,0.1797
79.0975,128.5602,5.8188,0.4856
79.3528,127.2844,5.8807,1.6867
79.6082,126.0125,6.0914,0.8368
79.8653,124.7333,6.2387,0.3004
80.1209,123.4566,6.2908,0.5715
80.3762,122.1815,6.3778,0.5832
80.6316,120.9062,6.4711,0.1512
80.887,119.6304,6.4497,0.0437
81.1422,118.3554,6.4427,0.6725
81.3973,117.0812,6.331,1.0681
81.6527,115.8076,6.1596,0.0714
81.9086,114.5311,6.1646,0.2071
82.1637,113.2567,6.195,0.0858
82.4188,111.9824,6.2081,0.38
82.6738,110.7085,6.2645,0.5627
82.929,109.4348,6.1768,0.2788
83.1842,108.1606,6.1375,0.0617
83.4393,106.8868,6.1472,0.6611
83.6943,105.614,6.2422,0.0536
83.9496,104.3399,6.254,0.1222
84.2045,103.0668,6.2349,0.1381
84.4595,101.7937,6.2558,0.4358
84.7144,100.5211,6.3214,1.1852
84.9695,99.2503,6.1279,0.8358
85.2253,97.9766,6.0127,0.2631
85.4807,96.7031,6.0568,0.3874
85.7356,95.431,6.1122,0.2103
85.9906,94.1586,6.0823,0.1124
86.2454,92.8866,6.0988,0.4597
86.5003,91.6151,6.0298,0.6937
86.7552,90.3439,5.9291,0.6996
87.0103,89.0724,5.834,0.0959
87.2655,87.8002,5.8268,0.4433
87.5202,86.5293,5.8836,1.5572
87.7751,85.2618,6.0798,0.8412
88.0314,83.9881,6.2233,0.0898
88.2866,82.7162,6.243,0.6506
88.5413,81.4463,6.1402,0.1622
88.7963,80.1752,6.1682,0.668
89.051,78.9056,6.2652,0.0657
89.3059,77.6347,6.2599,0.3226
89.5606,76.3649,6.3087,0.3472
89.8153,75.0951,6.3628,0.4313
90.07,73.8255,6.2942,0.958
90.3247,72.5571,6.1405,1.0639
90.5799,71.2881,5.9828,0.4338
90.8352,70.0173,6.0546,0.7217
91.0899,68.7488,6.1571,1.2665
91.3448,67.4816,6.3412,0.5966
91.6003,66.2108,6.4487,0.212
91.8551,64.9416,6.4859,0.4319
92.1096,63.6734,6.4144,0.8241
92.3642,62.4059,6.2792,0.0932
92.6191,61.1366,6.2723,0.3949
92.8736,59.8688,6.332,0.5158
93.1281,58.6011,6.4126,0.5614
93.3827,57.3335,6.3227,0.4702
93.6373,56.0657,6.398,0.0251
93.8918,54.7979,6.3963,0.1707
94.1462,53.5307,6.3686,0.249
94.4006,52.2636,6.4077,1.3537
94.655,50.9995,6.1791,1.0054
94.9105,49.7314,6.0375,0.2394
95.1655,48.4632,6.0137,0.4463
95.4198,47.1969,6.0762,0.4024
95.6742,45.9305,6.0183,0.4632
95.9286,44.6643,6.0845,0.3547
96.183,43.3981,6.1375,0.1663
96.4373,42.132,6.1137,0.1071
96.6915,40.8663,6.0978,0.2588
96.9458,39.6007,6.1352,0.1601
97.2,38.3352,6.1117,0.5821
97.4542,37.0704,6.0235,0.0918
97.7086,35.8047,6.0398,0.5558
97.9627,34.5402,5.9575,1.0894
98.217,33.2767,5.7998,0.2643
98.4719,32.0102,5.7781,0.1424
98.7261,30.7456,5.7968,1.147
98.9802,29.4832,5.6383,0.1394
99.2351,28.2169,5.6677,0.3513
99.4892,26.9529,5.7095,0.2177
99.7433,25.6888,5.6831,0.5697
99.9973,24.4255,5.7511,0.396
100.2516,23.1615,5.7028,0.0367
100.5057,21.8978,5.7088,1.3757
100.7597,20.6374,5.8673,0.1336
101.0148,19.3712,5.9004,0.0249
101.2688,18.1081,5.9036,0.2645
101.5227,16.8453,5.8667,0.6657
101.7767,15.5831,5.9538,0.6338
102.0309,14.3204,6.0443,0.4187
102.285,13.0576,6.1077,0.0255
102.539,11.795,6.1129,0.7744
102.7929,10.5338,6.2229,0.2141
103.0471,9.2708,6.1959,0.044
103.301,8.0089,6.2028,0.9223
103.5548,6.7486,6.0567,0.3217
103.8091,5.4858,6.0181,0.9613
104.063,4.2257,5.8749,1.6306
104.3174,2.9671,6.0893,1.2634
104.5728,1.7043,6.2935,0.2623
# Event GROUND_HIT occurred at t=104.916 seconds
# Event SIMULATION_END occurred at t=104.916 seconds
104.9163,0,6.2614,0.4044
